x,y,z
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.178,5.724,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
0.512,5.053,-7.000
-0.176,5.722,-7.000
-0.176,5.722,-7.000
-0.176,5.722,-7.000
-0.176,5.722,-7.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.178,5.724,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-6.774,4.148,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.103,5.844,-8.000
-6.774,4.148,-8.000
-0.028,5.715,-8.000
-0.181,5.726,-8.000
-6.774,4.148,-8.000
-6.774,4.148,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.178,5.724,-8.000
-0.175,5.723,-6.000
-0.053,5.713,-6.000
-0.175,5.723,-6.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.176,5.722,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.176,5.722,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
